3271,186,-1
3684,197,-1
2229,200,-1
2349,190,-1
2708,160,-1
2714,178,-1
2766,185,-1
2920,150,-1
4531,230,1
3270,148,-1
3119,140,-1
3618,177,-1
2523,183,-1
4393,245,1
2982,170,-1
5574,225,1
4506,230,1
2901,175,-1
2517,182,-1
3780,183,-1
2782,185,-1
3536,197,-1
4616,240,1
2340,165,-1
2836,165,-1
3598,178,-1
2918,170,-1
2961,174,-1
3474,190,-1
2747,180,-1
2492,156,-1
3545,195,-1
3980,160,-1
2243,160,-1
3095,175,-1
2509,180,-1
3566,195,-1
2600,193,-1
3055,210,-1
4871,250,1
2431,170,-1
3490,175,-1
5459,195,1
2874,160,-1
3562,170,-1
2077,142,-1
2680,180,-1
2352,175,-1
2626,164,-1
2810,152,-1
3216,170,-1
3170,182,-1
2423,186,-1
3777,210,-1
3477,155,-1
3757,178,-1
3638,277,-1
3094,174,-1
3571,190,-1
2890,190,-1
2626,160,-1
3524,185,-1
3414,210,-1
3346,165,-1
2857,182,-1
3127,188,-1
3806,260,1
2004,149,-1
1922,176,-1
3527,170,-1
4299,208,-1
3187,170,-1
3294,175,-1
3497,176,-1
2704,180,-1
2278,162,-1
3043,200,-1
2248,155,-1
2123,175,-1
2508,170,-1
3518,165,-1
2754,183,-1
2816,165,-1
3529,210,1
3569,214,1
2928,210,-1
3202,203,-1
2481,192,-1
2108,188,-1
3127,177,-1
3515,225,1
3052,186,-1
3397,185,-1
2167,160,-1
2982,178,-1
3431,240,1
3268,175,-1
3644,204,1
4103,235,1
2968,191,-1
3301,175,-1
3843,255,1
2427,165,-1
3396,252,1
2692,160,-1
3644,178,-1
2817,165,-1
2415,178,-1
2503,150,-1
2588,158,-1
3222,198,-1
3962,245,1
2820,180,-1
2713,178,-1
2022,170,-1
3496,165,-1
2532,169,-1
2750,165,-1
3070,170,-1
2306,197,-1
3049,206,-1
2525,195,-1
2948,192,-1
2713,205,-1
2288,168,-1
2912,172,-1
2094,178,-1
2863,176,-1
3633,165,-1
3492,160,-1
2710,155,-1
2670,170,-1
4800,215,1
4165,223,1
2796,185,-1
2560,165,-1
3406,172,-1
2182,170,-1
2874,170,-1
3107,182,-1
2375,170,-1
2940,225,1
4313,210,1
2409,178,-1
3456,202,-1
2971,170,-1
2295,175,-1
2784,210,-1
4959,222,1
2700,188,-1
3130,165,-1
2257,200,-1
3223,185,-1
2319,170,-1
2749,172,-1
2685,160,-1
3064,180,-1
3503,180,-1
3140,185,-1
2894,175,-1
2533,160,-1
2844,158,-1
2980,175,-1
2734,168,-1
4368,240,1
2714,155,-1
5343,230,1
2375,170,-1
4500,243,1
2327,188,-1
2802,165,-1
2589,165,-1
2904,175,-1
2257,159,-1
2232,168,-1
2410,170,-1
2827,198,-1
2752,180,-1
3418,180,-1
2915,165,-1
2535,198,-1
2674,160,-1
2101,155,-1
2473,155,-1
2448,159,-1
5923,208,1
4875,212,1
2915,215,1
4016,225,1
2939,162,-1
2760,198,-1
2217,140,-1
2851,188,-1
2650,198,-1
2484,165,-1
2332,155,-1
3112,240,1
3100,197,-1
4011,196,-1
3050,178,-1
5070,260,1
4972,215,1
2926,200,-1
2516,168,-1
2498,170,-1
2862,182,-1
2835,172,-1
2902,195,-1
2809,190,-1
3711,240,1
3935,235,1
2926,183,-1
2493,173,-1
3569,163,-1
2920,156,-1
4225,250,1
2173,170,-1
3223,160,-1
2453,190,-1
3062,185,-1
2885,195,-1
2839,165,-1
2977,200,-1
3155,197,-1
3037,168,-1
2869,185,-1
3274,210,-1
2292,180,-1
2998,192,-1
4144,252,1
2429,165,-1
3720,193,-1
2537,208,-1
2759,190,-1
2913,200,-1
3211,202,-1
3584,175,-1
4064,225,1
2466,200,-1
2944,162,-1
2819,170,-1
2601,169,-1
2578,200,-1
3531,168,-1
3355,190,-1
2888,180,-1
3648,175,-1
3447,186,-1
2751,195,-1
2069,175,-1
2409,182,-1
2688,182,-1
2753,185,-1
3120,192,-1
3206,188,-1
3021,184,-1
