身高,体重,肺活量,50米跑,立定跳远,坐位体前屈,800米跑
162.3,60.2,3456,7.91,202,17.9,"3'42"""
158,43,2971,8.9,170,19,"3'59"""
166,48,2295,9.78,175,7,"4'18"""
171,55,2784,9.69,210,20,"3'39"""
161,50,2700,8.98,188,22,"3'49"""
166,52,3130,8.05,165,15,"4'34"""
167,46,2257,9.32,200,20,"4'09"""
165,50,3223,8.72,185,23,"4'05"""
160,46,2319,9.5,170,16,"4'07"""
155,55.2,2749,9.52,172,9.3,"4'00"""
163.4,54.6,2685,9.55,160,10.8,"4'08"""
161,49,3064,9.49,180,25,"4'16"""
165,50,3503,9.4,180,23,"3'58"""
163,46,3140,9.48,185,15,"5'23"""
158,48.5,2894,9.63,175,26,"4'08"""
157,52,2533,9.55,160,18,"4'20"""
158,54,2844,8.9,158,19,"4'01"""
157,60,2980,8.69,175,15,"4'01"""
157,48,2734,9.91,168,20,"4'26"""
162,45,2714,10.7,155,20,"4'30"""
160,45,2375,9.86,170,9,"4'05"""
157.6,37,2327,9.27,188,20,"3'46"""
168.9,57.7,2802,9.08,165,17.1,"3'57"""
160,53,2589,8.9,165,15,"4'17"""
165.4,60.7,2904,9.69,175,12.5,"4'20"""
155,45,2257,9.02,159,21,"4'11"""
154,40,2232,9.9,168,27,"4'11"""
163,48,2410,9.69,170,23,"4'54"""
165,50,2827,9.47,198,16,"4'12"""
163,53,2752,10.07,180,4,"4'03"""
167,58,3418,9.5,180,26,"4'33"""
158.3,51.9,2915,9.11,165,17.9,"4'20"""
158,50,2535,9.19,198,24,"4'16"""
155,45,2674,8.69,160,14,"4'08"""
156,46,2101,9.6,155,15,"5'01"""
160,52,2473,10.08,155,16,"4'13"""
157,55,2448,10.1,159,22,"4'26"""
155,50,2939,9.63,162,20,"4'46"""
164,51,2760,8.86,198,14,"3'43"""
155,48,2217,10.6,140,12,"4'49"""
165,68.5,2851,10.35,188,16,"4'26"""
162,54,2650,9.36,198,23,"3'43"""
157,52,2484,10.08,165,18,"4'05"""
163,41,2332,9.88,155,13,"5'14"""
160,46,3100,8.94,197,30,"4'01"""
155,45,4011,8.42,196,21.5,"3'49"""
162,50,3050,8.6,178,26,"4'40"""
