身高,体重,肺活量,50米跑,立定跳远,坐位体前屈,800米跑
160.8,52.1,2272,8.42,177,24.9,"3'24"""
163,47.2,3160,8.61,173,7.1,"3'40"""
162.3,52.2,2993,8.4,208,27.8,"3'39"""
165.9,82.8,3333,8.26,167,19.3,"4'18"""
163.3,51.3,3478,8.67,151,16.6,"3'44"""
154.5,47.9,3098,8.35,200,17.1,"3'11"""
164.6,51.7,3538,8.3,187,13.7,"3'10"""
170.6,53.8,2945,8.3,190,26,"3'38"""
158.5,49.6,2825,8.63,176,21.7,"3'35"""
163.6,46.9,3178,8.71,193,13.3,"4'08"""
161.2,60.1,3417,9.24,171,19.1,"4'11"""
161,42.5,2815,8.36,175,22.5,"3'37"""
177.5,75.3,3713,7.75,213,17.4,"3'37"""
161.6,48.2,2884,8.81,180,24.5,"3'48"""
164.8,50.7,2419,9.14,175,13.1,"3'47"""
167.3,53.7,3620,8.5,192,13.1,"3'31"""
162.5,52.3,3345,9.18,162,21.2,"3'48"""
171.1,50.6,3590,8.33,204,21.7,"3'38"""
155.8,50.1,2868,8.35,185,14.1,"3'35"""
163.7,51.2,3636,9.3,200,10.3,"4'04"""
162.6,47.4,2945,8.36,185,26,"3'36"""
161.8,53.2,3022,8.69,180,26,"3'23"""
156.6,45.8,2329,8.5,193,28.4,"4'09"""
154.7,48.7,2869,8.23,175,20.8,"3'46"""
156.5,47.2,2879,8.47,184,26.5,"3'32"""
156.2,50.1,3349,8.6,210,18.6,"4'00"""
169.8,68.8,3952,9.3,195,16,"4'34"""
158.6,48.4,1951,7.74,205,14,"3'18"""
166.1,68.7,3543,8.36,185,16.5,"4'04"""
161.7,57.9,3233,9.14,170,13.8,"3'47"""
168.1,66.9,3228,9.18,180,17.6,"3'48"""
168.2,61.2,4104,8.4,200,20.4,"3'24"""
155,44.5,2624,9.08,155,13.1,"4'08"""
159.6,53.2,3651,8.1,195,20.8,"3'28"""
164.1,52,3508,8.6,185,18.6,"3'43"""
157.6,56.1,3728,9.51,170,15.5,"3'57"""
160.8,47.1,2723,8.44,180,22.6,"3'45"""
154.2,48.5,2935,8.4,188,19.5,"3'52"""
164.9,53.6,3533,7.71,196,13.5,"3'24"""
160.6,59.3,3049,7.6,210,9.3,"3'21"""
155.4,57.8,2184,8.69,180,16.1,"3'34"""
161.5,44,2586,8.13,200,17,"3'28"""
152.6,42.6,2879,8.65,182,26,"3'42"""
159.9,58.4,3089,8.5,180,21,"3'58"""
160.5,54.7,3013,9.9,170,16.3,"3'45"""
165.3,56.9,2905,8.85,192,28,"4'07"""
169.6,66.9,3323,10.5,155,16,"4'22"""
168.8,55.2,3644,8.8,197,17,"3'23"""
168.2,53.3,3080,8.69,210,13.3,"3'52"""
164.4,53.6,2846,8.47,180,12.9,"4'00"""
154.1,47.9,2922,8.71,182,22.3,"3'43"""
156.1,45.1,2735,8.36,197,19.2,"3'26"""
169,55.1,3374,9.69,190,12.8,"3'55"""
167.1,52.6,3701,8.36,200,20.7,"3'26"""
163.2,53.9,2890,8.4,206,16.1,"3'29"""
164.5,55.5,2763,8.53,195,12.1,"3'33"""
164,48.7,3563,9.11,200,9.6,"3'39"""
166.2,55,2973,9,188,24.9,"4'16"""
168.3,52.6,2881,7.39,211,11.6,"3'33"""
166.3,72.6,3496,8.3,188,7.2,"3'43"""
166.6,55.3,3503,8.97,182,21.8,"3'46"""
150.9,40.3,2449,9.53,178,22.7,"3'42"""
160.4,49.3,2975,9.4,165,10.2,"3'56"""
171,54.9,3063,9.1,185,16.3,"3'49"""
155,50,2268,9.11,163,11.1,"3'47"""
169.1,68.9,3562,9.07,180,17.5,"3'45"""
171.5,47.2,3246,9,170,17.7,"3'58"""
163.9,48.2,2620,8.5,206,12.9,"3'37"""
161.8,46.4,2731,8.3,190,11.6,"3'37"""
165.2,47.5,3550,9,190,19.2,"3'38"""
163.9,51.1,3456,8.52,189,26.8,"3'58"""
171.2,57.5,3182,9.52,186,26,"3'45"""
147.1,54.2,2209,8.69,175,15.6,"3'44"""
160.2,47.9,2238,8.4,190,21,"3'38"""
162.4,51,3193,9.1,171,13,"3'55"""
162,49.5,2495,9.17,170,20.4,"3'32"""
154,54,3189,8.48,185,8.4,"3'42"""
162.3,49.2,2608,8.56,190,9.8,"3'38"""
168,50.6,3481,8.69,198,23.1,"3'47"""
161.4,58.9,2489,9.6,175,12.8,"3'44"""
160,54.7,2788,8.3,180,18.5,"3'50"""
168.2,53.6,3257,8.26,202,23.6,"3'31"""
166.3,51.5,3492,8.55,185,22.4,"3'28"""
147.5,43.9,2128,8.97,167,14.6,"3'43"""
166.5,56.1,3216,8.69,190,19.6,"3'40"""
151.9,42.3,2317,9.31,180,13.2,"3'59"""
164.6,59.4,2900,8.66,195,18,"3'46"""
161.2,51.7,2933,9.34,165,23.9,"3'40"""
162.1,55.9,2675,8.52,168,22.5,"3'35"""
166.9,61.9,3752,9.1,175,14.8,"4'05"""
158.7,46.5,3802,8.82,182,22.2,"3'38"""
164.6,53.3,3446,8.6,190,33.4,"3'35"""
160.8,46.7,3078,8.59,160,20.7,"4'04"""
163.1,51.3,2932,8.19,203,22.8,"3'49"""
160.3,54.6,3500,9.3,180,19,"4'13"""
156.5,48.5,2505,10.9,155,19.6,"4'08"""
154.5,49.9,2758,9.27,155,26.7,"3'57"""
160.2,50.2,3516,9.19,173,22.4,"3'55"""
171.1,64.8,2884,8.84,172,18,"3'27"""
164,51.5,2796,8.8,182,6.9,"3'52"""
164.2,48.7,2736,9.42,178,15.6,"3'58"""
174.8,69.5,4158,9.6,188,16.6,"3'54"""
167.3,50.1,3082,9.33,168,18.4,"4'23"""
166.5,50.8,2734,8.76,188,14.2,"3'25"""
153.9,43.2,2310,8.5,182,28.9,"3'38"""
151,51.8,2449,9.21,160,20.8,"4'09"""
154.5,45.5,2890,9.08,171,20.8,"3'39"""
155.3,55.3,3450,8.9,190,25.3,"4'19"""
152,50.6,2493,8.31,162,26.8,"3'57"""
161.9,49.7,2491,8.03,178,18.6,"3'56"""
155.2,47.8,2521,8.8,160,16.8,"3'39"""
156.2,49.7,1853,9.77,153,3.3,"3'41"""
161.4,48.2,2574,8.52,192,16.1,"3'14"""
159.9,48.4,2352,9.76,155,23.1,"4'01"""
151.7,46.1,2847,9.27,175,26.4,"3'55"""
160.3,49.8,2803,9,190,7.8,"3'43"""
158.8,58.2,2849,8.3,190,15.2,"3'54"""
161.1,57.4,3555,9.9,170,16,"4'01"""
161.8,47.1,3313,8.6,193,17.4,"3'24"""
160.6,49.1,2310,8.27,170,11.5,"3'21"""
161.9,50.3,2506,8.48,177,17.5,"3'48"""
164.3,63.8,3327,9.39,151,19.1,"4'07"""
173.2,54,3331,8.19,185,12.7,"3'55"""
158.7,45.9,3154,8.9,185,20.6,"3'53"""
163,49.2,3364,8.86,168,17.5,"3'37"""
161.8,52.3,3001,8.8,178,11,"3'42"""
160.1,60.9,3122,8.69,192,12.7,"3'39"""
163,59.1,4093,9.5,170,21.3,"3'55"""
158.4,57.5,2642,9,165,9.3,"4'01"""
159.4,47,3325,8.96,178,24.7,"3'41"""
167.3,46.6,2774,9.31,160,12.7,"3'33"""
163.8,59.9,2647,10.02,162,12.2,"4'07"""
156.7,47,3099,7.41,215,18.7,"3'44"""
159.9,55.7,3377,8.77,185,16.6,"3'50"""
159.1,41.7,2278,9.86,162,8.6,"4'09"""
161.6,51.5,2603,8.8,162,23.1,"3'56"""
158.2,47.9,2714,6.85,170,16.3,"3'59"""
169.1,50.2,2953,9.6,151,14.8,"4'01"""
158.1,47.2,2439,8.61,172,18.5,"3'29"""
157.4,49.2,2589,8.38,198,24.3,"3'50"""
174,55.2,4249,7.4,218,20,"3'23"""
162.4,51.6,3107,9.19,170,19.3,"3'50"""
166.2,53.8,2984,9.25,180,15.6,"4'23"""
166.7,48,2857,8.19,192,13.3,"3'37"""
161.6,58.9,3281,9.5,168,22.2,"3'54"""
152.5,50.3,2643,8.3,172,19,"3'41"""
157.4,50.4,2930,9.19,170,18.8,"3'59"""
168,67.8,3512,9.61,135,16.5,"4'08"""
170.6,50.6,2660,8.6,182,12.9,"3'41"""
165.9,48.3,2795,9.19,155,22.4,"3'43"""
158.1,46.3,2741,8.59,164,13.4,"3'50"""
161.5,61.1,2711,10,151,17,"3'58"""
160.4,55.1,2935,9.19,165,18.9,"3'29"""
168.6,56.9,2686,8.19,185,19.2,"3'40"""
163.4,52.5,3517,9.6,175,14.7,"4'00"""
168.8,59.3,3765,9.71,182,24.4,"4'37"""
165.3,50.3,3367,8.9,202,19,"4'04"""
159.2,58.9,3364,9.64,160,18.2,"4'25"""
167.6,45.8,2218,8.8,185,22,"4'07"""
159.8,45.6,2770,8,195,23.6,"3'37"""
164.3,51.7,3569,8.8,190,12.6,"4'01"""
163.3,47.1,2715,8.69,192,20.5,"3'27"""
160.9,64.5,3181,8.92,160,22.7,"3'38"""
162,46.7,2995,7.91,178,12.9,"3'54"""
173.9,55.9,2154,8.76,171,12.8,"3'47"""
161.2,55.6,3547,9.07,183,21.5,"3'50"""
151.5,58,2491,9.64,155,6.1,"3'56"""
161.8,50.5,3335,7.71,180,20.4,"3'27"""
154.4,46.4,2222,9.9,158,-3.5,"4'11"""
166.4,55.7,3102,10,150,27,"4'17"""
156.5,47.3,3103,9.19,160,16.6,"4'00"""
171.6,55.5,3313,8.05,192,23.1,"3'35"""
164.9,54.7,2895,9.57,160,17.8,"4'11"""
155.7,46.3,2859,8.52,180,30.1,"3'37"""
154.1,46.3,3126,9,170,20.1,"3'33"""
168.8,60.2,3550,8.61,170,23.2,"3'37"""
157.7,46.8,2614,8.25,163,10.6,"3'37"""
159.1,43.9,2553,9.64,162,20.5,"3'53"""
161.2,48.1,3355,8.64,160,18.7,"3'43"""
164.9,50.8,2873,8.81,162,9.3,"3'59"""
155.4,51.1,2232,8.9,174,3.7,"3'46"""
161.4,41.4,2413,9.26,170,2.2,"4'05"""
165.1,44.8,2361,8.3,185,7.9,"3'30"""
170.1,52.9,3324,8.71,172,14.2,"3'34"""
157.2,48,2865,9.19,165,12.6,"3'44"""
162.8,56.4,3060,8.76,195,27.8,"3'38"""
170,50.8,2474,8.76,180,20.5,"3'51"""
163.6,47.5,3033,8.72,185,14.5,"3'42"""
161.7,44.5,1957,8.9,181,13.1,"3'40"""
156.8,46.4,2466,8.71,175,19.1,"3'45"""
168.7,52.2,3130,8.51,200,17,"3'42"""
153.3,47.5,2752,8.47,196,22.6,"4'05"""
167.3,59.2,3535,9.1,170,19.9,"3'25"""
155.7,48.7,2619,8.74,160,19.4,"3'32"""
161.8,60.4,2817,8.51,178,12.6,"3'34"""
167.7,48.6,2859,8.5,180,17,"3'30"""
164.8,54.1,3270,8.92,170,17.2,"3'40"""
161.5,54,3068,9.3,162,19.7,"3'34"""
166,53.8,3438,9.26,175,21.8,"3'38"""
159,48,3004,9.68,235,14.3,"3'56"""
169,59.9,2827,9.01,187,11.7,"3'53"""
154.2,42.2,2415,8.9,175,19.1,"3'46"""
166,57,2652,9.02,170,17.6,"4'11"""
154.9,41.3,2444,8.68,170,15.7,"3'37"""
174.5,65,3475,8.64,190,24.9,"3'50"""
158,58.5,2947,9.24,165,11,"4'13"""
161,51.1,3182,9.01,178,24.2,"3'33"""
169.6,55.6,3378,8.8,182,3.8,"3'28"""
159.3,45.6,2815,9.28,160,11.8,"3'53"""
164.2,48.2,2258,9.19,180,16.3,"3'52"""
171.9,70.3,3374,8.77,164,22.7,"3'47"""
164.6,49.4,3030,8.84,168,15.4,"3'39"""
169,52.6,3511,8.86,180,20.1,"3'40"""
166.6,51,2996,9.01,156,12.9,"3'52"""
166.4,57.4,3147,8.89,160,27.9,"4'22"""
169.4,65.8,2940,9.25,161,11,"3'51"""
168.7,60,3716,9.6,168,21.5,"4'11"""
159.6,46.2,3291,8.1,195,20.1,"3'40"""
158.2,50,2928,8.52,155,19.4,"3'45"""
174.4,61.6,3436,8.69,183,11,"3'47"""
166.7,48.8,2037,9.57,156,12.4,"3'51"""
171.6,62,3580,8.02,181,20.4,"3'46"""
155.7,60.8,3317,9.13,165,15.4,"4'04"""
161.2,56.7,2952,9.23,160,14,"4'04"""
152.4,45.4,3913,9.8,160,21.6,"3'51"""
155.8,38.4,2648,8.69,185,19.5,"3'28"""
165.3,50.8,3215,8.69,208,21.1,"3'36"""
160,46.7,2811,8.11,172,23.7,"3'33"""
164.8,59.6,3598,9.22,152,26.9,"3'57"""
157.8,48.6,2863,8.55,174,12,"3'28"""
163.7,64.8,3533,8.9,170,19.4,"4'05"""
160.5,47.4,2576,8.76,175,22,"3'42"""
160,46.3,2825,8.48,191,22.5,"3'31"""
160.5,53.8,3266,8.9,162,20.8,"3'52"""
176.8,56.7,3138,8.52,183,6.1,"3'28"""
158.8,51.7,3154,9.14,182,18.2,"3'48"""
156.7,43.8,2492,8.11,174,17.6,"3'34"""
160,44.4,2412,9.31,167,4.8,"4'23"""
162.8,53.9,2877,9,151,20.6,"4'09"""
150.7,43.4,2483,9.19,170,26.9,"4'30"""
163.6,63,3420,8.6,180,18.2,"3'55"""
154.5,52.9,2750,8.84,163,21.1,"3'43"""
164.4,55.2,3736,9.6,165,21.3,"4'34"""
168,48.7,2865,9.14,173,18.5,"3'33"""
154.9,46.6,2271,8.63,164,12.6,"3'40"""
161.1,52.5,2408,8.32,188,8.1,"3'19"""
170.1,51.4,3299,9.02,180,22,"3'47"""
159.1,48.5,3123,8.43,170,24.2,"3'59"""
165.6,56.8,2841,9.17,197,22.7,"3'35"""
157.8,38.9,2033,8.61,175,1.1,"3'25"""
163.2,56.6,3006,9.43,165,22.7,"3'56"""
160,67.8,2982,9.16,160,18.9,"4'15"""
158.4,42.9,2221,9.21,170,20.8,"3'47"""
153.2,48.2,2673,9,185,18.5,"3'43"""
160.2,47.8,2965,9.44,160,13.4,"3'42"""
160.5,44.6,2861,8.8,180,15.4,"3'54"""
160.7,48.6,3341,8.93,190,11.9,"4'04"""
162.1,77.9,3165,10.51,165,20.3,"4'57"""
156.3,52,3797,9.1,140,10.8,"4'24"""
167.9,60.8,2996,8.63,172,19.6,"3'41"""
149.7,47.9,3130,9.9,140,17.5,"4'17"""
165.6,51.5,2963,9.4,170,15.6,"4'09"""
166.1,52.3,2632,9.15,191,11.9,"3'40"""
168,50.9,2890,9.08,172,26.3,"3'57"""
162.3,55.5,2555,9.08,170,20.5,"3'41"""
163.5,53.5,3362,8.07,196,23,"3'33"""
159.3,41.8,2118,8.72,180,19,"3'50"""
164.5,61.3,3034,9.73,170,19.1,"4'15"""
146.4,40.7,2388,7.81,180,13.9,"3'24"""
156.6,53.7,2474,9.27,173,18.7,"3'55"""
159,51.1,3416,9.6,150,16.3,"3'48"""
164.5,51.2,2433,8.77,207,19,"3'37"""
151.9,40.4,2557,7.93,167,13.6,"3'43"""
164,56.8,2724,9.4,165,16.7,"4'08"""
157.6,49.5,2955,8.24,158,14.2,"3'31"""
168.6,54.8,3330,8.5,172,19.4,"3'40"""
163.2,52.1,3238,7.31,192,21.4,"3'28"""
159.5,47.8,3135,8.5,160,19.3,"4'05"""
166.6,60.9,3295,8.66,210,12.5,"3'56"""
154.7,44.6,2531,8.77,182,10.3,"3'41"""
165.3,43.4,2623,9.3,160,15.3,"4'01"""
158.3,48.6,2967,8.51,176,17.8,"3'49"""
164.4,51.6,3919,8.66,155,23.9,"3'48"""
164.3,52.7,3196,8.81,178,15.8,"3'47"""
170.2,50.1,1809,8.19,178,28.6,"4'05"""
159.7,48.2,2722,8.48,188,22.8,"3'49"""
158.3,48.8,2628,8.89,166,13.4,"4'00"""
160.5,49.1,2560,9.11,178,18.9,"3'35"""
160.3,55.2,2937,9.39,165,27.2,"4'00"""
154.5,56.7,2428,8.32,185,23.9,"3'46"""
164.5,48.7,3219,9.1,173,14.6,"3'49"""
165.3,49.8,2919,9,170,10.2,"3'39"""
170.7,54.5,3295,8.86,170,12.4,"4'05"""
153.8,43.6,2568,8.41,183,21.6,"3'37"""
159.3,44.1,2590,8.3,200,27.1,"3'29"""
166.1,53.6,3064,8.67,175,15.4,"4'01"""
157.1,43,2716,8.17,192,19.4,"3'26"""
163,45.1,3168,9.5,161,15.4,"3'50"""
157.4,42,3328,9,160,23.2,"4'24"""
155.5,43.5,2686,8.68,194,17.2,"3'51"""
160.9,52.4,3043,9.38,165,19.2,"3'37"""
168.4,50.4,3190,8.39,190,16.4,"3'34"""
159.2,62.3,3497,8.9,183,18.2,"3'45"""
156.3,51.7,2167,9.77,153,17,"3'58"""
171.5,59,2795,9.18,177,22.6,"4'01"""
160,54.5,2781,8.9,160,7.6,"3'33"""
165.1,49,2285,10.11,145,13.9,"3'53"""
170.7,67.6,4253,9.4,160,21.7,"3'52"""
146.7,38.5,2449,9.55,158,14.9,"4'19"""
152.2,46.5,2649,9.97,155,23.1,"4'30"""
161,45.2,2791,9.19,160,13.3,"3'41"""
157.7,47.3,2409,7.5,178,16.9,"3'44"""
163.9,59.2,3586,9.66,162,14.6,"3'52"""
172.5,54.2,2975,9.13,181,19,"4'07"""
159.6,57.9,3409,8.4,205,23.9,"3'42"""
155.3,43.9,2754,9.5,172,9.7,"3'58"""
163.6,58.5,3505,9.53,165,19.7,"4'43"""
165.7,64.3,3400,8.92,167,13.8,"3'44"""
157.6,49.2,3333,8.32,190,19.1,"3'55"""
163,52.5,3156,9.17,170,19.3,"3'39"""
163.7,51.7,3426,8.03,182,5.1,"3'49"""
159.1,44.2,2599,8.8,155,19.7,"3'52"""
161.5,46.1,3181,9.07,170,15.8,"4'03"""
161.3,46.2,2221,8.1,170,9.2,"4'07"""
162.2,59.6,3251,9.4,180,21.2,"4'12"""
157,55.6,2529,9.19,163,27,"4'07"""
169.5,57.4,2411,9.47,160,17,"4'24"""
153,45.2,3390,8.5,180,24.8,"3'41"""
158.8,44.9,3005,8.5,200,24.7,"3'39"""
155.8,44.7,2471,8.3,203,21.8,"3'59"""
162.2,44.1,2381,10.1,170,7.1,"3'42"""
168.1,56.9,3565,8.69,197,29.6,"3'31"""
168.9,63,3776,8.5,180,20.7,"3'59"""
165.3,52.8,2799,8.77,190,26.7,"3'56"""
167,55.5,2559,8.83,162,21.6,"3'49"""
173.2,62.5,3246,8.66,190,20.2,"3'45"""
162.2,49.7,2581,9.19,180,10,"4'04"""
149,39.3,2988,8.6,181,16.4,"3'28"""
166.6,59,3077,8.77,170,19.7,"4'05"""
167.4,52.4,3267,8.97,170,17.4,"4'05"""
165.4,55.5,2892,9.27,160,19.4,"4'04"""
157.6,53.8,2611,8.69,175,24.2,"3'51"""
162.6,50.6,2232,8.76,183,12.6,"4'01"""
162.1,50.7,2594,8.4,188,14.2,"3'58"""
169.5,53.2,2657,8.5,180,17,"3'42"""
173.4,53.8,3307,9.09,173,23.6,"3'44"""
158.4,54.4,2705,9,160,13.7,"3'57"""
160.4,55.2,3502,8.9,170,28.4,"3'52"""
153.8,44.9,3219,8.5,182,17.8,"3'25"""
163.6,53.7,3257,9.17,190,20.6,"3'53"""
161.8,50.1,3326,8.8,183,15.4,"3'46"""
163.1,51.8,2621,9.18,171,7,"3'38"""
157.7,56.4,3408,9.1,172,17.6,"3'40"""
160.4,55.5,3329,8.69,165,10.3,"3'45"""
159.6,55.4,2751,8.6,180,16.9,"4'08"""
161.2,53.1,3500,8.14,170,7.1,"3'35"""
162.8,59.8,3470,7.53,195,22.1,"3'28"""
164.5,61.2,2479,9.17,175,24.3,"4'30"""
160.5,71.6,3206,8.48,182,26.2,"3'49"""
159,54.9,3340,9.27,158,25.1,"3'54"""
162.3,44.8,2071,9.4,175,18.6,"3'41"""
163.1,65.7,2894,9.8,178,15.1,"3'58"""
161,47.7,2442,8.69,188,23.8,"3'34"""
157.1,45.7,2738,8.06,178,21.8,"3'45"""
157.3,48.9,3034,9.11,182,19.8,"3'26"""
159.6,56.1,3156,8.51,178,18.2,"3'55"""
157.8,65.3,3216,8.98,160,13.8,"4'00"""
161.1,46.4,2400,8.48,175,26.5,"3'41"""
167.8,51.6,3482,9.56,165,25.5,"4'01"""
161.9,53,3095,8.8,190,25.4,"3'44"""
166.8,58.6,3498,9.03,168,25.4,"3'40"""
165.5,48.5,2415,8.59,170,16.9,"3'45"""
165.2,49.4,2605,8.4,190,26.3,"3'41"""
161.2,46.6,2655,8.75,182,11.4,"3'40"""
156.6,45,2460,9,173,18.1,"3'57"""
170.4,56.2,3542,8.42,195,12.6,"3'50"""
159.2,61.7,3458,9.3,165,14.4,"3'56"""
154.1,44.6,2313,8.71,190,24.5,"3'36"""
161.1,49,2959,8.73,168,20,"3'21"""
161.4,49.3,2906,8.94,160,23,"3'44"""
160.9,49.6,3058,9.13,180,19.1,"3'46"""
158.6,50,3183,8.8,173,22.4,"3'44"""
159,54.6,3442,9.5,165,14.1,"4'01"""
169.4,56.7,3959,7.98,182,24.8,"3'43"""
157,46.3,3247,9.56,155,2.6,"3'48"""
149,46.8,2842,8.86,160,27.7,"3'42"""
164.1,52.3,3047,8.32,180,6.7,"3'25"""
158.6,47.8,3123,8.23,190,14.2,"3'56"""
159.3,44.9,2817,8.09,195,16.6,"3'31"""
158,45.2,2983,8.3,170,17.5,"3'22"""
159.7,53.1,3423,9,168,12.6,"3'52"""
161.6,57.7,3503,9.3,170,6.2,"3'44"""
167.7,51.6,2463,9.38,175,13.7,"3'49"""
155.9,45.6,2285,9.09,165,18.3,"3'40"""
155.9,51.2,2825,9.6,160,15.3,"3'46"""
163.4,49.6,2717,7.8,195,24.1,"3'24"""
162.4,59.3,3051,9.21,163,18.4,"3'31"""
161.6,54.1,2501,8.41,196,12,"3'51"""
145.7,44.2,2981,8.56,162,18.9,"4'11"""
176.9,84.5,3686,9.52,158,13.4,"4'00"""
167.3,49.8,3264,8.6,179,10.9,"3'19"""
166.5,53.6,3396,7.74,185,14.9,"3'26"""
162.2,70.8,3469,8.19,208,20.6,"4'03"""
158.6,41.3,2773,9.3,160,16.8,"4'08"""
164.8,62.5,3031,8.8,182,20.2,"3'56"""
155.1,43.2,2623,8.85,165,24.3,"3'36"""
154.2,45.1,2556,9.59,148,23.6,"4'32"""
158.2,50.1,3158,7.87,180,14.3,"3'30"""
160.5,54.8,3056,8.19,180,20.3,"3'51"""
164.7,58.2,3516,8.33,190,26.2,"3'52"""
155.5,50.1,2737,8.43,170,18.7,"3'31"""
161.1,58.7,3063,8.42,188,19.4,"3'41"""
169,62.4,3073,8.56,180,25.4,"3'49"""
159.4,47.6,2723,7.84,158,10.9,"3'36"""
161.2,50.5,3507,8.6,188,25.7,"3'38"""
164.5,47.5,2892,8.13,205,15.7,"3'05"""
161.4,47.4,2135,7.96,204,16.8,"3'17"""
156.8,51.3,2742,8.69,162,12.4,"4'20"""
167.3,55.5,3674,9.31,185,23.2,"3'43"""
166.3,53.2,3260,8.9,172,23.3,"3'45"""
161.1,52.2,2828,8.65,182,24,"3'51"""
159.9,50.2,3157,9.83,168,14.4,"4'15"""
162.2,50,3415,8.42,185,15.7,"3'36"""
153.5,46.5,2743,9,180,21.7,"3'53"""
154.5,44.5,3253,9.39,155,22.8,"3'55"""
169.1,75.3,3569,9.19,170,12.8,"3'59"""
159.5,51.7,3514,9,160,12.1,"4'03"""
160,45.8,2597,8.69,170,9,"3'40"""
158.3,41.8,2806,9.08,190,13.2,"3'58"""
157.2,53.8,2599,8.86,165,20.5,"3'52"""
174.4,59.9,3194,8.8,178,17.1,"3'59"""
168.2,58,3205,8.8,181,27.7,"3'33"""
152.8,51.3,2731,8.56,172,20.3,"3'32"""
154.2,45.6,2830,9.22,155,20.2,"4'01"""
170.7,54.6,3349,8.8,188,15.2,"3'38"""
155.7,45.3,3097,8.69,180,13.2,"3'42"""
166.6,51.1,3270,8.35,190,16.5,"3'28"""
159.5,42.7,2639,8.28,195,7.5,"4'13"""
166,51.7,3144,8.1,207,10.6,"3'35"""
156,44.8,2727,8.8,162,8.7,"3'42"""
160.8,54.4,2552,9.4,165,24.7,"3'59"""
164.6,68.7,2976,8.71,166,14.2,"4'00"""
166.8,60.1,3425,8.43,170,22.9,"3'39"""
156.4,45,2857,8.3,195,15.3,"3'23"""
166,51,3146,7.9,210,16.2,"3'20"""
168.8,51.4,2672,8.75,172,14.6,"3'48"""
158,50.8,2551,9.68,160,22.2,"4'11"""
160.1,55.3,2866,8.53,160,20.8,"3'51"""
161.8,60,3290,8.69,188,22,"3'27"""
157.9,57.5,2935,9.01,165,14.4,"3'45"""
156.1,46.3,2809,10,145,24.9,"4'09"""
161.7,54.4,2913,11.92,154,20.2,"4'09"""
158.2,57,2797,8.39,192,13.3,"3'34"""
162.5,47.1,2526,9.69,170,19.5,"4'03"""
165.4,62,3153,9.65,165,10.1,"4'04"""
161,45.1,2946,8.83,190,16.8,"3'46"""
165.9,47.7,2929,8.3,170,17.6,"3'29"""
158.4,60,3016,8.19,180,16,"3'45"""
161.6,39.7,3340,8.9,175,11.7,"3'48"""
161.8,55.8,2997,9.3,153,22.5,"4'09"""
164.3,48.5,3325,6.7,175,24.2,"3'30"""
159.5,51.6,2879,9.4,170,17.5,"3'43"""
158.4,47.8,2848,8.97,165,17.7,"3'37"""
166.2,57.5,3169,9.3,152,5.9,"3'52"""
155.9,43.7,2964,9,170,18.8,"3'54"""
168.4,50.7,3309,8.3,202,17.2,"3'46"""
162.9,49.5,3244,8.56,192,12.9,"3'55"""
165.9,64.8,3217,8.49,190,19.7,"3'30"""
149,47.8,2923,9.5,165,20.6,"3'57"""
162,48.2,3171,8.38,190,27.5,"3'54"""
164.6,56.8,4275,9.19,180,21.9,"3'50"""
166.6,56.4,3311,8.89,180,21.4,"3'36"""
153.6,44.9,2724,8.84,182,20.5,"3'46"""
169.2,60.9,3801,8.68,178,13.2,"3'39"""
159.8,49.3,2612,7.49,192,26.4,"3'39"""
165,50,3160,8.92,182,6.4,"3'52"""
167.1,52.4,2767,8.77,165,19.6,"3'42"""
156.6,44.7,2543,8.25,165,18.2,"3'42"""
160.7,65.1,2644,9.13,150,5.4,"3'50"""
162.2,51.6,6314,8.96,170,18.9,"3'51"""
160.4,57.4,3192,8.53,170,13.5,"3'58"""
167.5,60.9,2632,9.89,160,18.8,"4'09"""
167.3,48.8,3085,8.8,185,11.6,"3'51"""
161.3,53.7,3360,9.86,163,11,"4'07"""
167.1,57.2,3831,9.4,170,21.2,"4'09"""
161.1,45.7,2962,10.23,151,19.7,"4'32"""
159.1,44.7,2398,9.02,155,26.7,"3'44"""
158.9,55,3306,8.64,155,25.1,"3'32"""
161.1,58,3484,9.5,145,25.3,"3'51"""
155.4,47.6,2895,9.19,175,14.3,"3'43"""
155.7,60.1,2762,8.61,160,17.2,"3'43"""
159.7,52.4,3193,8.19,190,13.2,"3'02"""
168.1,57.4,3379,9.32,155,7.1,"4'04"""
161.3,52.8,3074,8.76,180,20.4,"3'45"""
156.5,45.5,2603,8.86,175,10.7,"4'01"""
164.4,58.2,3098,8.19,207,20.6,"3'20"""
162.9,53.7,2693,9,150,12.8,"4'09"""
166.1,60.5,3859,9.69,178,12.1,"3'51"""
164.2,54,2405,8.76,155,23.9,"4'09"""
167,52.5,2694,9.02,173,15.6,"3'23"""
154.3,51.1,2959,8.02,160,26.9,"3'49"""
158.7,51.5,3006,9.23,182,17.8,"3'43"""
164.5,56.4,2963,9.73,153,14.5,"4'08"""
160.6,47.1,2212,9.46,153,17.8,"3'57"""
155.3,45.4,2988,9.27,168,10.9,"3'25"""
156.7,44,2219,9.55,160,12.9,"4'07"""
167.6,59.1,3686,8.08,180,25.8,"3'33"""
163.2,56.2,2559,8.89,160,22,"3'56"""
167.3,47.7,2984,9,180,16.7,"3'53"""
157.6,49.1,2702,8.24,198,17.6,"3'21"""
157.7,45.9,2911,7.49,210,20.5,"3'37"""
